Model,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20,MRR
Final,0.008766334250343878,0.0050865748177245365,0.016509628610729025,0.0075757337736665304,0.029924346629986245,0.010918955731486192,0.010501870247359463
Referencia,0.006830601092896175,0.0040279496990429245,0.01366120218579235,0.006207048457339813,0.0273224043715847,0.00961785290858459,0.009725504096144495
Pop. Baseline,0.0068775790921595595,0.004115932420520283,0.012379642365887207,0.005851512731215769,0.026134800550206328,0.009266422636801804,0.009751004152887259
